description,amount,date,category,paymentMethod,notes,type,currency
Morning coffee,80,2024-01-03,Food & Dining,Cash,Café coffee,expense,INR
Lunch at restaurant,450,2024-01-10,Food & Dining,UPI,South Indian thali,expense,INR
Pizza delivery,650,2024-01-15,Food & Dining,Card,Dominos order,expense,INR
Dinner date,1200,2024-01-22,Food & Dining,Card,Fine dining,expense,INR
Street food,120,2024-02-02,Food & Dining,Cash,Chaat & snacks,expense,INR
Biryani,280,2024-02-08,Food & Dining,UPI,Paradise restaurant,expense,INR
Swiggy order,380,2024-02-14,Food & Dining,Card,Valentines day dinner,expense,INR
Coffee shop,150,2024-02-20,Food & Dining,UPI,Starbucks,expense,INR
Office lunch,200,2024-03-05,Food & Dining,Cash,Canteen meal,expense,INR
Birthday dinner,2200,2024-03-12,Food & Dining,Card,Group dinner,expense,INR
Breakfast,90,2024-03-18,Food & Dining,Cash,Idli & vada,expense,INR
Zomato order,520,2024-03-25,Food & Dining,UPI,Chinese food,expense,INR
Ice cream,180,2024-04-03,Food & Dining,Cash,Baskin Robbins,expense,INR
Lunch meeting,750,2024-04-10,Food & Dining,Card,Client lunch,expense,INR
Juice bar,100,2024-04-17,Food & Dining,UPI,Fresh juice,expense,INR
Fast food,220,2024-04-24,Food & Dining,Cash,McDonald's,expense,INR
Dinner,480,2024-05-07,Food & Dining,UPI,Family dinner,expense,INR
Breakfast cafe,320,2024-05-14,Food & Dining,Card,Weekend breakfast,expense,INR
Tea stall,30,2024-05-21,Food & Dining,Cash,Evening tea,expense,INR
Weekend brunch,680,2024-05-28,Food & Dining,Card,Brunch with friends,expense,INR
Swiggy order,410,2024-06-04,Food & Dining,UPI,Quick meal,expense,INR
Restaurant dinner,900,2024-06-11,Food & Dining,Card,Seafood dinner,expense,INR
Filter coffee,75,2024-06-18,Food & Dining,Cash,Filter coffee,expense,INR
Pizza Hut,720,2024-06-25,Food & Dining,Card,Pizza Hut,expense,INR
Veg thali,260,2024-07-03,Food & Dining,UPI,Veg thali,expense,INR
Evening snacks,150,2024-07-10,Food & Dining,Cash,Samosa & chai,expense,INR
Dinner out,550,2024-07-17,Food & Dining,Card,North Indian cuisine,expense,INR
Zomato order,430,2024-07-24,Food & Dining,UPI,Weekend dinner,expense,INR
Blue Tokai coffee,200,2024-08-02,Food & Dining,Card,Blue Tokai,expense,INR
Mess lunch,300,2024-08-09,Food & Dining,Cash,Mess lunch,expense,INR
Burger King,350,2024-08-16,Food & Dining,UPI,Burger King,expense,INR
Ice cream date,280,2024-08-23,Food & Dining,Cash,Summer treat,expense,INR
Anniversary dinner,1100,2024-09-06,Food & Dining,Card,Anniversary dinner,expense,INR
Breakfast,120,2024-09-13,Food & Dining,Cash,Poha & chai,expense,INR
Swiggy late night,490,2024-09-20,Food & Dining,UPI,Office late night,expense,INR
Business lunch,850,2024-09-27,Food & Dining,Card,Business lunch,expense,INR
Morning chai,90,2024-10-04,Food & Dining,Cash,Morning chai,expense,INR
Special dinner,1350,2024-10-11,Food & Dining,Card,Special occasion,expense,INR
KFC,240,2024-10-18,Food & Dining,UPI,KFC,expense,INR
Weekend brunch,780,2024-10-25,Food & Dining,Card,Brunch out,expense,INR
Zomato Friday,380,2024-11-01,Food & Dining,UPI,Friday dinner,expense,INR
Family dinner,650,2024-11-08,Food & Dining,Card,Dinner with family,expense,INR
Café visit,130,2024-11-15,Food & Dining,Cash,Café visit,expense,INR
Work day lunch,290,2024-11-22,Food & Dining,UPI,Work day lunch,expense,INR
Date night dinner,470,2024-12-06,Food & Dining,Card,Date night,expense,INR
Christmas dinner,2500,2024-12-25,Food & Dining,Card,Christmas celebration,expense,INR
New Year dinner,1800,2024-12-31,Food & Dining,Card,New Year eve,expense,INR
Swiggy weekend,350,2025-01-10,Food & Dining,UPI,Weekend order,expense,INR
Valentines lunch,600,2025-02-14,Food & Dining,Card,Valentines lunch,expense,INR
Morning coffee,170,2025-03-05,Food & Dining,UPI,Morning coffee,expense,INR
Ola cab,280,2024-01-05,Transport,UPI,Office commute,expense,INR
Petrol refill,2200,2024-01-12,Transport,Card,Full tank,expense,INR
Metro card recharge,500,2024-01-19,Transport,UPI,Monthly metro,expense,INR
Uber ride,350,2024-01-26,Transport,Card,Airport drop,expense,INR
Auto rickshaw,80,2024-02-04,Transport,Cash,Short ride,expense,INR
Bus ticket,25,2024-02-11,Transport,Cash,City bus,expense,INR
Petrol,1800,2024-02-18,Transport,Card,Weekly refill,expense,INR
Ola cab,200,2024-02-25,Transport,UPI,Evening ride,expense,INR
Parking fee,150,2024-03-04,Transport,Cash,Mall parking,expense,INR
Toll charges,250,2024-03-11,Transport,Card,Highway toll,expense,INR
Uber late night,420,2024-03-18,Transport,Card,Late night cab,expense,INR
Petrol fill,2000,2024-03-25,Transport,Card,Full tank fill,expense,INR
Metro recharge,300,2024-04-05,Transport,UPI,Top up,expense,INR
Auto rickshaw,100,2024-04-12,Transport,Cash,Market trip,expense,INR
Cab ride,320,2024-04-19,Transport,UPI,Weekend outing,expense,INR
Petrol,1900,2024-04-26,Transport,Card,Monthly fuel,expense,INR
Car service,3500,2024-05-03,Transport,Card,Quarterly service,expense,INR
Ola cab,180,2024-05-10,Transport,UPI,Office commute,expense,INR
Bus pass,600,2024-05-17,Transport,Cash,Monthly pass,expense,INR
Petrol,2100,2024-05-24,Transport,Card,Refill,expense,INR
Uber night out,380,2024-06-03,Transport,Card,Night out,expense,INR
Parking fee,200,2024-06-10,Transport,Card,Movie parking,expense,INR
Auto rickshaw,90,2024-06-17,Transport,Cash,Errands,expense,INR
Petrol,2200,2024-06-24,Transport,Card,Full tank,expense,INR
